name = nl
year = 2009
yname = hgt
sex = male
sub = ds
distribution = LMS
citation = van Gameren 2012
publication = Gameren-Oosterom HBM, van Dommelen P, Oudesluijs-Murphy AM, Buitendijk SE, van Buuren S & van Wouwe JP (2012). Healthy growth in children with Down syndrome. PLoS ONE, 7(2), e31079.
remark = Down syndrome
[data]
x	L	M	S
0	1	48.863	0.0519
0.0192	1	49.643	0.0512
0.0383	1	50.414	0.0505
0.0575	1	51.174	0.0499
0.0767	1	51.923	0.0493
0.0958	1	52.662	0.0487
0.115	1	53.39	0.0481
0.1342	1	54.108	0.0476
0.1533	1	54.814	0.047
0.1725	1	55.508	0.0465
0.1916	1	56.191	0.0461
0.23	1	57.514	0.0452
0.2683	1	58.777	0.0444
0.3066	1	59.975	0.0437
0.345	1	61.105	0.043
0.3833	1	62.167	0.0424
0.4216	1	63.16	0.0419
0.46	1	64.087	0.0415
0.4983	1	64.955	0.0411
0.5366	1	65.768	0.0407
0.6133	1	67.252	0.0401
0.6899	1	68.58	0.0396
0.7666	1	69.788	0.0392
0.8433	1	70.902	0.0389
0.9199	1	71.937	0.0387
0.9966	1	72.908	0.0384
1.0732	1	73.824	0.0383
1.1499	1	74.696	0.0381
1.2266	1	75.525	0.038
1.5	1	78.242	0.0378
2	1	82.566	0.0379
2.5	1	86.389	0.0383
3	1	89.836	0.0389
3.5	1	93.102	0.0394
4	1	96.364	0.0399
4.5	1	99.655	0.0403
5	1	102.897	0.0406
5.5	1	106.039	0.0408
6	1	109.037	0.0411
6.5	1	111.899	0.0413
7	1	114.662	0.0415
7.5	1	117.315	0.0417
8	1	119.909	0.0419
8.5	1	122.523	0.042
9	1	125.218	0.042
9.5	1	128	0.0419
10	1	130.866	0.0418
10.5	1	133.801	0.0416
11	1	136.798	0.0414
11.5	1	139.844	0.0411
12	1	142.901	0.0407
12.5	1	145.886	0.0403
13	1	148.707	0.0399
13.5	1	151.274	0.0396
14	1	153.544	0.0393
14.5	1	155.502	0.039
15	1	157.163	0.0388
15.5	1	158.573	0.0386
16	1	159.779	0.0385
16.5	1	160.826	0.0384
17	1	161.751	0.0383
17.5	1	162.4	0.0382
18	1	163	0.0382
18.5	1	163.1	0.0382
19	1	163.352	0.0382
19.5	1	163.352	0.0382
20	1	163.352	0.0382
20.5	1	163.352	0.0382
21	1	163.352	0.0382
