name = nl
year = 2009
yname = hgt
sex = male
sub = ma
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0767	1	54.43	0.0368
0.0958	1	55.08	0.0367
0.115	1	55.73	0.0366
0.1342	1	56.38	0.0365
0.1533	1	57.03	0.0363
0.1725	1	57.67	0.0362
0.1916	1	58.3	0.0361
0.2108	1	58.94	0.036
0.23	1	59.57	0.036
0.2491	1	60.18	0.0359
0.25	1	60.21	0.0359
0.2917	1	61.52	0.0357
0.3333	1	62.77	0.0356
0.375	1	63.95	0.0356
0.4167	1	65.06	0.0355
0.4583	1	66.11	0.0355
0.5	1	67.1	0.0356
0.5417	1	68.04	0.0356
0.5833	1	68.92	0.0357
0.625	1	69.77	0.0358
0.6667	1	70.58	0.0359
0.7083	1	71.36	0.0359
0.75	1	72.11	0.036
0.7917	1	72.83	0.0362
0.8333	1	73.53	0.0363
0.875	1	74.2	0.0364
0.9167	1	74.86	0.0365
0.9583	1	75.5	0.0366
1	1	76.11	0.0367
1.0833	1	77.29	0.0369
1.1667	1	78.4	0.037
1.25	1	79.45	0.0372
1.3333	1	80.45	0.0373
1.4167	1	81.43	0.0375
1.5	1	82.38	0.0376
1.5833	1	83.31	0.0377
1.6667	1	84.22	0.0378
1.75	1	85.12	0.0379
1.8333	1	86	0.038
1.9167	1	86.86	0.0381
2	1	87.72	0.0381
2.5	1	92.46	0.0384
3	1	96.77	0.0384
3.5	1	100.79	0.0385
4	1	104.45	0.0386
4.5	1	107.96	0.0389
5	1	111.37	0.0393
5.5	1	114.56	0.0398
6	1	117.73	0.0404
6.5	1	120.86	0.0412
7	1	123.91	0.0421
7.5	1	126.76	0.043
8	1	129.41	0.0438
8.5	1	131.92	0.0446
9	1	134.55	0.0455
9.5	1	137.35	0.0463
10	1	140.07	0.0473
10.5	1	142.75	0.0483
11	1	145.38	0.0493
11.5	1	147.92	0.0503
12	1	150.49	0.0511
12.5	1	153.26	0.0518
13	1	156.27	0.0521
13.5	1	159.66	0.0518
14	1	163.3	0.0508
14.5	1	166.81	0.0495
15	1	169.89	0.0479
15.5	1	172.3	0.0465
16	1	174.04	0.0454
16.5	1	175.25	0.0446
17	1	176.12	0.0441
17.5	1	176.74	0.0437
18	1	177.17	0.0434
18.5	1	177.44	0.0433
19	1	177.59	0.0432
19.5	1	177.7	0.0431
20	1	177.78	0.043
20.5	1	177.83	0.043
21	1	177.83	0.043
