name = nl
year = 2009
yname = hgt
sex = male
sub = nl
distribution = LMS
citation = Schonbeck2011
publication = Schonbeck Y, Talma H, van Dommelen P, Bakker B, Buitendijk SE, HiraSing RA, van Buuren S (2011). Increase in Prevalence of Overweight in Dutch Children and Adolescents: A Comparison of Nationwide Growth Studies in 1980, 1997 and 2009. PLoSone, 6(11), e27608.
[data]
x	L	M	S
0.0383	1	52.96	0.0439
0.0575	1	53.7	0.0434
0.0767	1	54.44	0.043
0.0958	1	55.17	0.0425
0.115	1	55.91	0.0421
0.1342	1	56.64	0.0417
0.1533	1	57.36	0.0413
0.1725	1	58.08	0.0409
0.1916	1	58.79	0.0405
0.23	1	60.17	0.0398
0.2683	1	61.49	0.0392
0.3066	1	62.75	0.0387
0.345	1	63.94	0.0382
0.3833	1	65.06	0.0378
0.4216	1	66.11	0.0374
0.46	1	67.08	0.0371
0.4983	1	67.99	0.0368
0.5366	1	68.85	0.0366
0.6133	1	70.41	0.0363
0.6899	1	71.83	0.036
0.7666	1	73.14	0.0358
0.8433	1	74.37	0.0357
0.9199	1	75.52	0.0356
0.9966	1	76.61	0.0355
1.0732	1	77.64	0.0355
1.1499	1	78.64	0.0355
1.2266	1	79.6	0.0355
1.5	1	82.83	0.0356
2	1	88.37	0.0361
2.5	1	93.48	0.0369
3	1	97.83	0.0379
3.5	1	101.66	0.0389
4	1	105.52	0.0398
4.5	1	109.46	0.0405
5	1	113.15	0.0411
5.5	1	116.56	0.0416
6	1	119.89	0.0422
6.5	1	123.02	0.0427
7	1	126.18	0.0431
7.5	1	129.38	0.0435
8	1	132.52	0.0439
8.5	1	135.57	0.0443
9	1	138.52	0.0447
9.5	1	141.24	0.0452
10	1	143.71	0.0457
10.5	1	146.2	0.0463
11	1	148.95	0.0472
11.5	1	151.98	0.0481
12	1	155.24	0.0492
12.5	1	158.54	0.0501
13	1	161.76	0.0506
13.5	1	165.06	0.0504
14	1	168.53	0.0494
14.5	1	172.05	0.0475
15	1	175.24	0.0452
15.5	1	177.59	0.0434
16	1	179.1	0.0422
16.5	1	180.16	0.0414
17	1	180.99	0.0407
17.5	1	181.7	0.0402
18	1	182.43	0.0396
18.5	1	183.13	0.0391
19	1	183.64	0.0387
19.5	1	183.83	0.0386
20	1	183.83	0.0386
20.5	1	183.83	0.0386
21	1	183.83	0.0386
