name = nl
year = 2009
yname = hgt
sex = male
sub = tu
distribution = LMS
citation = Schonbeck2013
publication = Schonbeck Y et. al. (2013) In preparation.
[data]
x	L	M	S
0.0575	1	54.21	0.0374
0.0767	1	54.88	0.0373
0.0958	1	55.54	0.0371
0.115	1	56.21	0.0369
0.1342	1	56.87	0.0367
0.1533	1	57.54	0.0366
0.1725	1	58.2	0.0364
0.1916	1	58.85	0.0363
0.2108	1	59.51	0.0361
0.23	1	60.16	0.036
0.2491	1	60.79	0.0359
0.25	1	60.82	0.0359
0.2917	1	62.18	0.0356
0.3333	1	63.47	0.0354
0.375	1	64.71	0.0352
0.4167	1	65.89	0.0351
0.4583	1	66.99	0.035
0.5	1	68.04	0.0349
0.5417	1	69.02	0.0348
0.5833	1	69.95	0.0348
0.625	1	70.83	0.0348
0.6667	1	71.67	0.0348
0.7083	1	72.46	0.0348
0.75	1	73.23	0.0348
0.7917	1	73.97	0.0348
0.8333	1	74.68	0.0348
0.875	1	75.36	0.0348
0.9167	1	76.02	0.0349
0.9583	1	76.66	0.0349
1	1	77.29	0.0349
1.0833	1	78.48	0.035
1.1667	1	79.61	0.0351
1.25	1	80.66	0.0352
1.3333	1	81.66	0.0352
1.4167	1	82.64	0.0353
1.5	1	83.58	0.0353
1.5833	1	84.48	0.0353
1.6667	1	85.35	0.0354
1.75	1	86.2	0.0354
1.8333	1	87.03	0.0354
1.9167	1	87.84	0.0354
2	1	88.64	0.0354
2.5	1	93.19	0.0355
3	1	97.38	0.0358
3.5	1	101.5	0.0362
4	1	105.59	0.037
4.5	1	109.35	0.0379
5	1	112.64	0.0388
5.5	1	115.57	0.0397
6	1	118.33	0.0405
6.5	1	120.96	0.0414
7	1	123.65	0.0424
7.5	1	126.5	0.0435
8	1	129.48	0.0446
8.5	1	132.44	0.0457
9	1	135.3	0.0467
9.5	1	138.02	0.0475
10	1	140.61	0.0482
10.5	1	143.2	0.0488
11	1	145.92	0.0492
11.5	1	148.86	0.0496
12	1	151.93	0.0497
12.5	1	155.09	0.0496
13	1	158.25	0.0491
13.5	1	161.25	0.0482
14	1	163.97	0.047
14.5	1	166.46	0.0456
15	1	168.73	0.0442
15.5	1	170.84	0.0428
16	1	172.7	0.0415
16.5	1	174.21	0.0404
17	1	175.36	0.0396
17.5	1	176.22	0.039
18	1	176.77	0.0387
18.5	1	177.05	0.0385
19	1	177.18	0.0384
19.5	1	177.29	0.0383
20	1	177.43	0.0382
20.5	1	177.54	0.0381
21	1	177.53	0.0381
