name = nl
year = 2009
yname = wgt
sex = female
sub = ds
distribution = LMS
citation = van Gameren 2012
publication = Gameren-Oosterom HBM, van Dommelen P, Oudesluijs-Murphy AM, Buitendijk SE, van Buuren S & van Wouwe JP (2012). Healthy growth in children with Down syndrome. PLoS ONE, 7(2), e31079.
remark = Down syndrome
[data]
x	L	M	S
0	0.9101	3.031	0.1471
0.0192	0.8868	3.148	0.1457
0.0383	0.8642	3.265	0.1443
0.0575	0.8426	3.387	0.143
0.0767	0.8223	3.514	0.1418
0.0958	0.8032	3.648	0.1406
0.115	0.7855	3.787	0.1395
0.1342	0.7689	3.929	0.1385
0.1533	0.7537	4.072	0.1375
0.1725	0.7395	4.214	0.1366
0.1916	0.7264	4.355	0.1357
0.23	0.7028	4.635	0.1342
0.2683	0.6823	4.908	0.1328
0.3066	0.665	5.172	0.1316
0.345	0.6506	5.426	0.1305
0.3833	0.6392	5.672	0.1295
0.4216	0.6306	5.907	0.1286
0.46	0.6249	6.132	0.1277
0.4983	0.6216	6.344	0.1269
0.5366	0.6207	6.545	0.1262
0.6133	0.6251	6.915	0.1246
0.6899	0.6363	7.247	0.1231
0.7666	0.6514	7.552	0.1216
0.8433	0.6685	7.833	0.1201
0.9199	0.6863	8.094	0.1186
0.9966	0.7042	8.335	0.1172
1.0732	0.7215	8.554	0.1158
1.1499	0.738	8.755	0.1144
1.2266	0.7537	8.942	0.1131
1.25	0.7584	8.998	0.1127
1.5	0.8012	9.553	0.1088
1.75	0.8374	10.041	0.1056
