name = nl
year = 2009
yname = wgt
sex = female
sub = nl
distribution = LMS
citation = Schonbeck2011
publication = Schonbeck Y, Talma H, van Dommelen P, Bakker B, Buitendijk SE, HiraSing RA, van Buuren S (2011). Increase in Prevalence of Overweight in Dutch Children and Adolescents: A Comparison of Nationwide Growth Studies in 1980, 1997 and 2009. PLoSone, 6(11), e27608.
[data]
x	L	M	S
0.0192	1.1962	3.6628	0.1154
0.0383	1.1741	3.8342	0.1154
0.0575	1.1519	4.0065	0.1154
0.0767	1.1297	4.1789	0.1153
0.0958	1.1076	4.3503	0.1153
0.115	1.0854	4.5224	0.1153
0.1342	1.0632	4.6936	0.1155
0.1533	1.0412	4.8625	0.1152
0.1725	1.0191	5.0303	0.1152
0.1916	0.9972	5.1949	0.1153
0.23	0.9535	5.5179	0.1153
0.2683	0.9104	5.8277	0.1154
0.3066	0.8679	6.1234	0.1151
0.345	0.826	6.404	0.1153
0.3833	0.7851	6.6676	0.1153
0.4216	0.7452	6.9162	0.1155
0.46	0.7062	7.1525	0.1152
0.4983	0.6684	7.376	0.1151
0.5366	0.6317	7.5878	0.1153
0.6133	0.5617	7.9784	0.1157
0.6899	0.4965	8.3264	0.1157
0.7666	0.4358	8.6387	0.1158
0.8433	0.3795	8.9207	0.116
0.9199	0.3274	9.1799	0.1157
0.9966	0.2789	9.4245	0.1159
1.0732	0.2338	9.6592	0.1159
1.1499	0.1917	9.8866	0.1167
1.2266	0.1522	10.1078	0.1162
1.5	0.0286	10.8514	0.1172
2	-0.1547	12.1634	0.118
2.5	-0.31	13.5095	0.1202
3	-0.4472	14.917	0.1223
3.5	-0.5644	16.1931	0.1247
4	-0.6638	17.3114	0.1281
4.5	-0.7516	18.4015	0.1307
5	-0.8316	19.5128	0.1346
5.5	-0.9062	20.6747	0.1385
6	-0.9762	21.9522	0.1427
6.5	-1.0391	23.3926	0.1474
7	-1.089	24.8871	0.1518
7.5	-1.1207	26.3488	0.1555
8	-1.1325	27.8168	0.1613
8.5	-1.1234	29.3729	0.1674
9	-1.0932	31.1132	0.1742
9.5	-1.0435	33.0649	0.1786
10	-0.9761	35.1297	0.1862
10.5	-0.893	37.2804	0.1901
11	-0.797	39.4849	0.1935
11.5	-0.7048	41.6946	0.196
12	-0.6416	44.0126	0.1937
12.5	-0.6158	46.3969	0.1902
13	-0.6185	48.7103	0.1851
13.5	-0.6404	50.92	0.1782
14	-0.6804	52.9699	0.1748
14.5	-0.7305	54.8422	0.1645
15	-0.7786	56.4639	0.1637
15.5	-0.8198	57.8206	0.1561
16	-0.8538	58.952	0.1533
16.5	-0.881	59.9008	0.1498
17	-0.9027	60.6931	0.1517
17.5	-0.9198	61.3359	0.1472
18	-0.9332	61.8511	0.1484
18.5	-0.9438	62.2674	0.1432
19	-0.9525	62.6092	0.144
19.5	-0.9597	62.8943	0.1447
20	-0.9658	63.1375	0.1452
20.5	-0.9712	63.3525	0.1394
21	-0.9762	63.5523	0.1398
