name = nl
year = 2009
yname = wgt
sex = male
sub = ds
distribution = LMS
citation = van Gameren 2012
publication = Gameren-Oosterom HBM, van Dommelen P, Oudesluijs-Murphy AM, Buitendijk SE, van Buuren S & van Wouwe JP (2012). Healthy growth in children with Down syndrome. PLoS ONE, 7(2), e31079.
remark = Down syndrome
[data]
x	L	M	S
0	1.0606	3.053	0.193
0.0192	1.0534	3.205	0.1888
0.0383	1.0463	3.356	0.1848
0.0575	1.0391	3.508	0.181
0.0767	1.0319	3.661	0.1773
0.0958	1.0246	3.817	0.1739
0.115	1.0171	3.974	0.1706
0.1342	1.0095	4.133	0.1674
0.1533	1.0018	4.294	0.1645
0.1725	0.9939	4.458	0.1617
0.1916	0.9859	4.623	0.159
0.23	0.9698	4.951	0.1541
0.2683	0.954	5.271	0.1498
0.3066	0.9389	5.578	0.146
0.345	0.925	5.872	0.1426
0.3833	0.9125	6.149	0.1395
0.4216	0.9012	6.407	0.1369
0.46	0.8906	6.647	0.1345
0.4983	0.8799	6.872	0.1323
0.5366	0.8684	7.083	0.1304
0.6133	0.8414	7.47	0.127
0.6899	0.8077	7.815	0.124
0.7666	0.7658	8.128	0.1213
0.8433	0.7153	8.421	0.1188
0.9199	0.6576	8.695	0.1165
0.9966	0.5956	8.951	0.1143
1.0732	0.5322	9.187	0.1122
1.1499	0.4698	9.407	0.1103
1.2266	0.4095	9.613	0.1085
1.25	0.3916	9.673	0.108
1.5	0.2132	10.285	0.1032
1.75	0.0541	10.816	0.0993
