name = nl
year = 2009
yname = wgt
sex = male
sub = nl
distribution = LMS
citation = Schonbeck2011
publication = Schonbeck Y, Talma H, van Dommelen P, Bakker B, Buitendijk SE, HiraSing RA, van Buuren S (2011). Increase in Prevalence of Overweight in Dutch Children and Adolescents: A Comparison of Nationwide Growth Studies in 1980, 1997 and 2009. PLoSone, 6(11), e27608.
[data]
x	L	M	S
0.0383	1.4638	3.9543	0.119
0.0575	1.443	4.1581	0.1189
0.0767	1.4221	4.3617	0.1186
0.0958	1.4013	4.5639	0.1182
0.115	1.3805	4.766	0.1177
0.1342	1.3596	4.9664	0.1177
0.1533	1.339	5.163	0.1172
0.1725	1.3182	5.3572	0.1168
0.1916	1.2976	5.5461	0.1165
0.23	1.2566	5.9123	0.1159
0.2683	1.2161	6.2584	0.1152
0.3066	1.1762	6.5844	0.1146
0.345	1.1369	6.8907	0.1144
0.3833	1.0985	7.1755	0.1141
0.4216	1.061	7.4405	0.1131
0.46	1.0243	7.6879	0.113
0.4983	0.9886	7.9179	0.1124
0.5366	0.954	8.1323	0.1122
0.6133	0.8877	8.5236	0.1108
0.6899	0.8255	8.876	0.1101
0.7666	0.7673	9.2014	0.1095
0.8433	0.7129	9.5065	0.1093
0.9199	0.6623	9.7936	0.1087
0.9966	0.615	10.0659	0.1087
1.0732	0.5709	10.3252	0.1084
1.1499	0.5295	10.5737	0.1079
1.2266	0.4908	10.8122	0.1081
1.5	0.3698	11.6017	0.1079
2	0.1936	12.9084	0.1084
2.5	0.0494	14.1107	0.1101
3	-0.0747	15.1877	0.1109
3.5	-0.1889	16.2332	0.1136
4	-0.3001	17.3741	0.1164
4.5	-0.4077	18.631	0.1192
5	-0.5073	19.91	0.1234
5.5	-0.5971	21.1613	0.127
6	-0.6781	22.4477	0.1324
6.5	-0.7502	23.7868	0.138
7	-0.8132	25.2125	0.1437
7.5	-0.8664	26.7398	0.1497
8	-0.908	28.3433	0.1559
8.5	-0.9369	29.9615	0.1618
9	-0.9535	31.5471	0.1672
9.5	-0.9595	33.1258	0.1723
10	-0.9566	34.768	0.1738
10.5	-0.9426	36.4975	0.1788
11	-0.915	38.3735	0.1842
11.5	-0.872	40.4785	0.1902
12	-0.8141	42.8226	0.1927
12.5	-0.7469	45.3393	0.1995
13	-0.6781	48.0293	0.2017
13.5	-0.6173	50.942	0.2038
14	-0.5749	54.05	0.2
14.5	-0.5584	57.2294	0.1946
15	-0.5686	60.2727	0.1868
15.5	-0.5959	62.9692	0.1763
16	-0.6293	65.2491	0.1696
16.5	-0.6626	67.154	0.1679
17	-0.6919	68.7323	0.165
17.5	-0.7157	70.0453	0.1611
18	-0.7337	71.1539	0.1565
18.5	-0.7464	72.085	0.1514
19	-0.7547	72.8655	0.1457
19.5	-0.7601	73.5273	0.1471
20	-0.7638	74.1073	0.1408
20.5	-0.7665	74.6281	0.1418
21	-0.7686	75.101	0.1427
