name = nl
year = 1976
yname = bmi
sex = female
sub = hs
distribution = LMS
citation = deWilde1976
publication = de Wilde JA, van Dommelen P, Middelkoop BJ (2013). Appropriate body mass index cut-offs to determine thinness, overweight and obesity in South Asian children in the Netherlands. PLoS One, 8(12):e82822.
[data]
x	L	M	S
0.038	-2.397	12.08	0.0636
0.058	-1.633	12.63	0.0681
0.077	-1.119	13.06	0.0715
0.096	-0.741	13.41	0.0743
0.115	-0.453	13.69	0.0765
0.134	-0.231	13.94	0.0783
0.153	-0.056	14.17	0.0798
0.173	0.082	14.37	0.081
0.192	0.199	14.56	0.082
0.23	0.37	14.88	0.0836
0.268	0.486	15.14	0.0846
0.307	0.565	15.36	0.0853
0.345	0.617	15.55	0.0858
0.383	0.65	15.71	0.0861
0.422	0.669	15.85	0.0863
0.46	0.678	15.96	0.0864
0.498	0.681	16.04	0.0864
0.537	0.679	16.11	0.0864
0.613	0.662	16.2	0.0861
0.69	0.63	16.24	0.0858
0.767	0.588	16.25	0.0853
0.843	0.539	16.23	0.0849
0.92	0.486	16.2	0.0844
0.997	0.432	16.15	0.0838
1.073	0.377	16.09	0.0834
1.15	0.32	16.02	0.0829
1.227	0.264	15.95	0.0825
1.5	0.07	15.68	0.0812
2	-0.235	15.21	0.0801
2.5	-0.493	14.88	0.0802
3	-0.726	14.64	0.0813
3.5	-0.936	14.46	0.0831
4	-1.123	14.3	0.0855
4.5	-1.279	14.17	0.0885
5	-1.403	14.09	0.0918
5.5	-1.494	14.07	0.0953
6	-1.559	14.1	0.099
6.5	-1.601	14.19	0.1027
7	-1.627	14.33	0.1065
7.5	-1.638	14.51	0.1102
8	-1.639	14.72	0.1139
8.5	-1.63	14.96	0.1174
9	-1.615	15.22	0.1209
9.5	-1.593	15.5	0.1242
10	-1.566	15.78	0.1274
10.5	-1.534	16.07	0.1305
11	-1.499	16.37	0.1334
11.5	-1.462	16.65	0.1362
12	-1.423	16.94	0.139
12.5	-1.384	17.22	0.1416
13	-1.345	17.5	0.1442
13.5	-1.307	17.76	0.1467
14	-1.269	18.02	0.1492
14.5	-1.232	18.28	0.1516
15	-1.196	18.52	0.1539
15.5	-1.161	18.75	0.1563
16	-1.127	18.98	0.1585
16.5	-1.094	19.2	0.1608
17	-1.062	19.42	0.1629
17.5	-1.032	19.62	0.1651
18	-1.001	19.83	0.1672
