name = nl
year = 1976
yname = bmi
sex = male
sub = hs
distribution = LMS
citation = deWilde1976
publication = de Wilde JA, van Dommelen P, Middelkoop BJ (2013). Appropriate body mass index cut-offs to determine thinness, overweight and obesity in South Asian children in the Netherlands. PLoS One, 8(12):e82822.
[data]
x	L	M	S
0.038	-0.052	12.24	0.0919
0.058	0.027	12.86	0.0932
0.077	0.084	13.32	0.094
0.096	0.134	13.7	0.0944
0.115	0.184	14.02	0.0946
0.134	0.237	14.29	0.0946
0.153	0.289	14.53	0.0945
0.173	0.339	14.75	0.0944
0.192	0.388	14.96	0.0942
0.23	0.479	15.31	0.0938
0.268	0.558	15.57	0.0933
0.307	0.626	15.78	0.0928
0.345	0.684	15.96	0.0923
0.383	0.733	16.12	0.0918
0.422	0.774	16.25	0.0913
0.46	0.807	16.37	0.0908
0.498	0.833	16.47	0.0904
0.537	0.851	16.55	0.09
0.613	0.867	16.67	0.0892
0.69	0.859	16.74	0.0885
0.767	0.833	16.76	0.0879
0.843	0.794	16.75	0.0873
0.92	0.745	16.71	0.0869
0.997	0.689	16.65	0.0864
1.073	0.63	16.58	0.0861
1.15	0.568	16.51	0.0857
1.227	0.505	16.43	0.0854
1.5	0.285	16.11	0.0847
2	-0.088	15.54	0.0843
2.5	-0.419	15.1	0.0849
3	-0.707	14.78	0.0864
3.5	-0.95	14.56	0.0886
4	-1.151	14.39	0.0912
4.5	-1.317	14.26	0.0942
5	-1.454	14.17	0.0974
5.5	-1.564	14.12	0.1008
6	-1.651	14.12	0.1044
6.5	-1.718	14.18	0.1082
7	-1.766	14.29	0.1119
7.5	-1.795	14.45	0.1158
8	-1.806	14.63	0.1196
8.5	-1.802	14.84	0.1234
9	-1.783	15.08	0.1272
9.5	-1.752	15.33	0.131
10	-1.71	15.59	0.1347
10.5	-1.659	15.86	0.1384
11	-1.6	16.13	0.142
11.5	-1.534	16.4	0.1455
12	-1.464	16.67	0.149
12.5	-1.39	16.93	0.1524
13	-1.315	17.19	0.1558
13.5	-1.239	17.43	0.1591
14	-1.164	17.68	0.1623
14.5	-1.089	17.91	0.1656
15	-1.016	18.13	0.1687
15.5	-0.945	18.35	0.1718
16	-0.875	18.56	0.1749
16.5	-0.806	18.76	0.1779
17	-0.74	18.96	0.1809
17.5	-0.676	19.15	0.1839
18	-0.613	19.34	0.1868
