name = nl
year = 1976
yname = wfh
sex = female
sub = hs
distribution = LMS
ty = log10(y)
yt = 10**y
citation = deWilde1976
publication = de Wilde JA, van Dommelen P, Middelkoop BJ (2013). Appropriate body mass index cut-offs to determine thinness, overweight and obesity in South Asian children in the Netherlands. PLoS One, 8(12):e82822.
[data]
x	L	M	S
51	2.5479	0.531	0.0757
53	2.6979	0.586	0.0701
55	2.8047	0.638	0.0647
57	2.8975	0.683	0.0599
59	2.9736	0.723	0.056
61	2.999	0.76	0.053
63	2.9391	0.797	0.0503
65	2.8015	0.831	0.0478
67	2.6285	0.862	0.0455
69	2.4551	0.889	0.0434
71	2.2915	0.913	0.0414
73	2.1444	0.935	0.0397
75	2.0099	0.954	0.0384
77	1.8781	0.973	0.0375
79	1.7448	0.99	0.0367
81	1.5992	1.006	0.0359
83	1.4176	1.021	0.035
85	1.1933	1.037	0.0341
87	0.9301	1.052	0.0333
89	0.631	1.068	0.0324
91	0.2983	1.084	0.0317
93	-0.0625	1.101	0.031
95	-0.4425	1.117	0.0306
97	-0.8335	1.133	0.0303
99	-1.2276	1.149	0.0302
101	-1.6205	1.164	0.0303
103	-2.0057	1.179	0.0306
105	-2.3758	1.193	0.031
107	-2.7223	1.208	0.0315
109	-3.0363	1.223	0.0318
111	-3.3156	1.238	0.0321
113	-3.5639	1.253	0.0324
115	-3.7818	1.269	0.0327
117	-3.9674	1.285	0.033
119	-4.1185	1.302	0.0334
121	-4.2366	1.32	0.0339
123	-4.3232	1.337	0.0345
125	-4.3811	1.355	0.0351
127	-4.413	1.373	0.0358
129	-4.4201	1.39	0.0364
131	-4.4029	1.409	0.0371
133	-4.3598	1.427	0.0377
135	-4.2905	1.446	0.0384
137	-4.1965	1.466	0.039
139	-4.0816	1.485	0.0395
141	-3.9491	1.505	0.0399
143	-3.8017	1.525	0.0401
145	-3.6407	1.545	0.0403
147	-3.4679	1.565	0.0403
149	-3.2868	1.585	0.0403
151	-3.1023	1.604	0.0401
153	-2.9186	1.622	0.0399
155	-2.737	1.64	0.0396
157	-2.558	1.658	0.0393
159	-2.3825	1.674	0.0391
161	-2.211	1.691	0.0388
163	-2.0435	1.707	0.0386
165	-1.8791	1.723	0.0384
167	-1.7162	1.738	0.0381
169	-1.555	1.753	0.0379
171	-1.3959	1.768	0.0378
173	-1.2394	1.783	0.0376
175	-1.0849	1.798	0.0374
177	-0.9305	1.812	0.0372
179	-0.7761	1.827	0.037
