name = nl
year = 1976
yname = wfh
sex = male
sub = hs
distribution = LMS
ty = log10(y)
yt = 10**y
citation = deWilde1976
publication = de Wilde JA, van Dommelen P, Middelkoop BJ (2013). Appropriate body mass index cut-offs to determine thinness, overweight and obesity in South Asian children in the Netherlands. PLoS One, 8(12):e82822.
[data]
x	L	M	S
51	-0.2837	0.517	0.0781
53	0.0996	0.574	0.0733
55	0.49370000000000003	0.629	0.0687
57	0.9264	0.679	0.0642
59	1.3609	0.725	0.0599
61	1.762	0.765	0.0561
63	2.1087	0.802	0.0528
65	2.3895	0.836	0.05
67	2.5907	0.868	0.0475
69	2.7144	0.897	0.0454
71	2.7629	0.925	0.0436
73	2.7353	0.949	0.0421
75	2.6442	0.971	0.0409
77	2.499	0.99	0.0398
79	2.3042	1.007	0.0388
81	2.0694	1.022	0.0379
83	1.8068	1.036	0.0369
85	1.5259	1.049	0.0359
87	1.2345	1.063	0.0348
89	0.9342	1.077	0.0338
91	0.6199	1.092	0.033
93	0.2886	1.107	0.0323
95	-0.058	1.121	0.0318
97	-0.4189	1.136	0.0315
99	-0.7934	1.15	0.0314
101	-1.1764	1.165	0.0313
103	-1.5597	1.18	0.0313
105	-1.9335	1.194	0.0313
107	-2.2911	1.209	0.0314
109	-2.6306	1.224	0.0314
111	-2.9483	1.239	0.0314
113	-3.2421	1.255	0.0314
115	-3.5122	1.271	0.0316
117	-3.7589	1.287	0.032
119	-3.9831	1.304	0.0325
121	-4.1863	1.32	0.0331
123	-4.3658	1.336	0.0339
125	-4.5137	1.353	0.0348
127	-4.6243	1.37	0.0358
129	-4.6945	1.388	0.0369
131	-4.7245	1.406	0.0379
133	-4.7166	1.425	0.0388
135	-4.6732	1.444	0.0397
137	-4.5952	1.463	0.0405
139	-4.4837	1.482	0.0413
141	-4.3394	1.501	0.042
143	-4.1637	1.52	0.0427
145	-3.9592	1.539	0.0433
147	-3.729	1.557	0.0439
149	-3.4776	1.574	0.0443
151	-3.2107	1.592	0.0447
153	-2.9335	1.609	0.0449
155	-2.6499	1.625	0.045
157	-2.3631	1.641	0.0449
159	-2.0744	1.657	0.0447
161	-1.7849	1.673	0.0444
163	-1.4967	1.688	0.044
165	-1.2116	1.704	0.0436
167	-0.9284	1.72	0.0431
169	-0.6488	1.735	0.0427
171	-0.3723	1.75	0.0422
173	-0.0995	1.765	0.0417
175	0.169	1.78	0.0413
177	0.4335	1.794	0.0408
179	0.6947	1.808	0.0403
181	0.9532	1.822	0.0399
183	1.208	1.836	0.0394
185	1.4593	1.849	0.039
