name = nl
year = 1976
yname = wgt
sex = female
sub = hs
distribution = LMS
citation = deWilde1976
publication = de Wilde JA, van Dommelen P, Middelkoop BJ (2013). Appropriate body mass index cut-offs to determine thinness, overweight and obesity in South Asian children in the Netherlands. PLoS One, 8(12):e82822.
[data]
x	L	M	S
0.0417	-0.3342	3.135	0.1158
0.0833	0.0705	3.572	0.1142
0.125	0.3124	3.985	0.1131
0.1667	0.4592	4.369	0.1123
0.2083	0.547	4.733	0.1117
0.25	0.6	5.088	0.1112
0.2917	0.6336	5.424	0.1108
0.3333	0.6567	5.751	0.1105
0.375	0.6733	6.055	0.1102
0.4167	0.6844	6.334	0.1099
0.4583	0.6914	6.594	0.1097
0.5	0.6968	6.838	0.1095
0.5417	0.7026	7.061	0.1093
0.5833	0.7096	7.27	0.1091
0.6667	0.7286	7.652	0.1088
0.75	0.7548	7.989	0.1085
0.8333	0.788	8.276	0.1083
0.9167	0.8268	8.522	0.1082
1	0.8691	8.746	0.1081
1.0833	0.9135	8.959	0.1082
1.1667	0.9584	9.163	0.1083
1.25	1.0022	9.353	0.1084
1.3333	1.043	9.529	0.1086
1.4167	1.079	9.697	0.1089
1.5	1.1096	9.864	0.1092
1.5833	1.1345	10.03	0.1095
1.6667	1.1534	10.196	0.1099
1.75	1.1668	10.36	0.1104
1.8333	1.1752	10.524	0.1108
1.9167	1.1786	10.687	0.1113
2	1.1771	10.85	0.1118
2.5	1.0851	11.785	0.1149
3	0.8875	12.694	0.1184
3.5	0.6392	13.626	0.1222
4	0.3917	14.533	0.1265
4.5	0.1752	15.369	0.1313
5	-0.0051	16.232	0.1368
