name = nl
year = 1976
yname = wgt
sex = male
sub = hs
distribution = LMS
citation = deWilde1976
publication = de Wilde JA, van Dommelen P, Middelkoop BJ (2013). Appropriate body mass index cut-offs to determine thinness, overweight and obesity in South Asian children in the Netherlands. PLoS One, 8(12):e82822.
[data]
x	L	M	S
0.0417	0.3157	3.239	0.1246
0.0833	0.5915	3.812	0.1246
0.125	0.7826	4.31	0.1243
0.1667	0.9227	4.761	0.1239
0.2083	1.0206	5.159	0.1232
0.25	1.0828	5.535	0.1226
0.2917	1.1162	5.898	0.1219
0.3333	1.1288	6.246	0.1212
0.375	1.1273	6.576	0.1206
0.4167	1.1166	6.881	0.1201
0.4583	1.1002	7.155	0.1196
0.5	1.08	7.399	0.1192
0.5417	1.0568	7.617	0.1188
0.5833	1.0313	7.815	0.1185
0.6667	0.9744	8.185	0.118
0.75	0.9119	8.527	0.1176
0.8333	0.846	8.828	0.1172
0.9167	0.7787	9.087	0.117
1	0.7108	9.313	0.1169
1.0833	0.6427	9.519	0.1168
1.1667	0.575	9.719	0.1168
1.25	0.5083	9.91	0.1169
1.3333	0.4428	10.092	0.117
1.4167	0.3788	10.264	0.1172
1.5	0.3164	10.427	0.1174
1.5833	0.2557	10.59	0.1177
1.6667	0.1967	10.751	0.1179
1.75	0.1393	10.904	0.1182
1.8333	0.0833	11.05	0.1186
1.9167	0.0286	11.196	0.1189
2	-0.0248	11.341	0.1193
2.5	-0.3193	12.166	0.122
3	-0.5715	13.005	0.1251
3.5	-0.7798	13.912	0.1284
4	-0.9431	14.753	0.1319
4.5	-1.0699	15.571	0.1355
5	-1.1739	16.396	0.139
