name = nl
year = 2010
yname = hgt
sex = female
sub = hs
distribution = LMS
citation = deWilde2010
publication = de Wilde JA, van Dommelen P, van Buuren S , Middelkoop BJ. Height of South Asian children in the Netherlands aged 0-20 years: secular trends and comparisons with current Asian Indian, Dutch and WHO references, Ann Hum Biol 2014 Jun 25:1-7.
[data]
x	L	M	S
0.0833	1	51.3	0.04573
0.125	1	53.4	0.04484
0.1667	1	55.1	0.04407
0.2083	1	56.7	0.04334
0.25	1	58.1	0.04267
0.2917	1	59.4	0.04206
0.3333	1	60.6	0.04149
0.375	1	61.8	0.04096
0.4167	1	62.9	0.04046
0.4583	1	63.9	0.04002
0.5	1	64.8	0.03961
0.5417	1	65.7	0.03926
0.5833	1	66.6	0.03895
0.6667	1	68.1	0.03843
0.75	1	69.6	0.03802
0.8333	1	71	0.03769
0.9167	1	72.3	0.03744
1	1	73.5	0.03724
1.0833	1	74.7	0.03709
1.1667	1	75.8	0.03699
1.25	1	76.9	0.03692
1.3333	1	78	0.03688
1.4167	1	79.1	0.03685
1.5	1	80.1	0.03685
1.5833	1	81.1	0.03686
1.6667	1	82.1	0.03689
1.75	1	83	0.03693
1.8333	1	84	0.03698
1.9167	1	84.9	0.03704
2	1	85.8	0.03712
2.5	1	90.7	0.03773
3	1	95	0.03856
3.5	1	99	0.03945
4	1	102.8	0.04028
4.5	1	106.6	0.04101
5	1	110.1	0.0417
5.5	1	113.5	0.04235
6	1	116.7	0.04293
6.5	1	119.8	0.04342
7	1	122.9	0.04378
7.5	1	126	0.04397
8	1	129.1	0.044
8.5	1	132.3	0.04389
9	1	135.5	0.04363
9.5	1	138.7	0.04325
10	1	141.7	0.04278
10.5	1	144.7	0.04224
11	1	147.5	0.04165
11.5	1	150	0.04104
12	1	152.4	0.04045
12.5	1	154.3	0.03991
13	1	156	0.03944
13.5	1	157.3	0.03903
14	1	158.2	0.03869
14.5	1	158.9	0.03842
15	1	159.3	0.0382
15.5	1	159.6	0.03804
16	1	159.6	0.0379
16.5	1	159.6	0.03779
17	1	159.6	0.03768
17.5	1	159.6	0.03756
18	1	159.6	0.03745
18.5	1	159.6	0.03734
19	1	159.6	0.03723
19.5	1	159.6	0.03713
20	1	159.6	0.03703
20.5	1	159.6	0.03693
21	1	159.6	0.03683
