name = nl
year = 2010
yname = hgt
sex = male
sub = hs
distribution = LMS
citation = deWilde2010
publication = de Wilde JA, van Dommelen P, van Buuren S , Middelkoop BJ. Height of South Asian children in the Netherlands aged 0-20 years: secular trends and comparisons with current Asian Indian, Dutch and WHO references, Ann Hum Biol 2014 Jun 25:1-7.
[data]
x	L	M	S
0.0833	1	52.4	0.04162
0.125	1	54.5	0.04011
0.1667	1	56.4	0.03887
0.2083	1	58.1	0.03777
0.25	1	59.8	0.03684
0.2917	1	61.2	0.03606
0.3333	1	62.5	0.03543
0.375	1	63.7	0.03493
0.4167	1	64.8	0.03453
0.4583	1	65.8	0.03421
0.5	1	66.7	0.03397
0.5417	1	67.5	0.03378
0.5833	1	68.3	0.03364
0.6667	1	69.8	0.03348
0.75	1	71.1	0.03342
0.8333	1	72.3	0.03343
0.9167	1	73.5	0.03349
1	1	74.6	0.03358
1.0833	1	75.7	0.0337
1.1667	1	76.8	0.03382
1.25	1	77.9	0.03395
1.3333	1	78.9	0.03409
1.4167	1	79.9	0.03424
1.5	1	80.9	0.03439
1.5833	1	81.9	0.03455
1.6667	1	82.9	0.03471
1.75	1	83.8	0.03487
1.8333	1	84.7	0.03504
1.9167	1	85.6	0.03522
2	1	86.5	0.0354
2.5	1	91.3	0.03655
3	1	95.8	0.03766
3.5	1	100	0.03876
4	1	103.9	0.03988
4.5	1	107.4	0.041
5	1	110.7	0.04206
5.5	1	113.8	0.04305
6	1	116.9	0.04395
6.5	1	120	0.04473
7	1	123.1	0.04539
7.5	1	126.3	0.04593
8	1	129.4	0.0464
8.5	1	132.3	0.04683
9	1	135.2	0.04722
9.5	1	138	0.04752
10	1	140.8	0.0477
10.5	1	143.8	0.04773
11	1	146.8	0.04761
11.5	1	149.9	0.04736
12	1	153.1	0.04698
12.5	1	156.2	0.0465
13	1	159.3	0.04593
13.5	1	162.2	0.04533
14	1	164.7	0.04474
14.5	1	166.8	0.0442
15	1	168.5	0.0437
15.5	1	169.8	0.04324
16	1	170.9	0.04281
16.5	1	171.7	0.04241
17	1	172.4	0.04203
17.5	1	173	0.04168
18	1	173.4	0.04134
18.5	1	173.7	0.04103
19	1	174	0.04074
19.5	1	174.2	0.04046
20	1	174.3	0.0402
20.5	1	174.4	0.03996
21	1	174.5	0.03972
