name = nl
year = 2012
yname = hdc
sex = female
sub = 26
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	22.54	1.584
0.0027	22.67	1.578
0.0055	22.81	1.571
0.0082	22.94	1.565
0.011	23.09	1.56
0.0137	23.23	1.554
0.0164	23.36	1.549
0.0192	23.51	1.543
0.0219	23.65	1.538
0.0246	23.79	1.534
0.0274	23.94	1.529
0.0301	24.08	1.524
0.0329	24.23	1.52
0.0356	24.38	1.516
0.0383	24.52	1.512
0.0575	25.56	1.487
0.0767	26.59	1.467
0.0958	27.59	1.451
0.115	28.55	1.438
0.1342	29.46	1.426
0.1533	30.32	1.417
0.1725	31.12	1.408
0.1916	31.88	1.401
0.2108	32.59	1.394
0.23	33.25	1.389
0.2491	33.87	1.384
0.25	33.9	1.383
0.2917	35.13	1.376
0.3333	36.22	1.371
0.375	37.2	1.37
0.4167	38.08	1.372
0.4583	38.88	1.376
0.5	39.6	1.382
0.5417	40.25	1.391
0.5833	40.84	1.401
0.625	41.37	1.412
0.6667	41.86	1.425
0.7083	42.3	1.439
0.75	42.71	1.453
0.7917	43.07	1.468
0.8333	43.41	1.484
0.875	43.71	1.5
0.9167	43.99	1.516
0.9583	44.25	1.534
1	44.48	1.551
1.0833	44.88	1.587
1.1667	45.22	1.625
1.25	45.5	1.663
1.3333	45.73	1.703
1.4167	45.91	1.744
1.5	46.06	1.785
