name = nl
year = 2012
yname = hdc
sex = male
sub = 34
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	31.72	1.579
0.0027	31.8	1.563
0.0055	31.89	1.547
0.0082	31.97	1.533
0.011	32.06	1.519
0.0137	32.15	1.505
0.0164	32.24	1.493
0.0192	32.34	1.48
0.0219	32.43	1.468
0.0246	32.53	1.457
0.0274	32.62	1.446
0.0301	32.72	1.435
0.0329	32.82	1.425
0.0356	32.92	1.416
0.0383	33.01	1.406
0.0575	33.72	1.35
0.0767	34.44	1.307
0.0958	35.14	1.274
0.115	35.81	1.249
0.1342	36.45	1.229
0.1533	37.04	1.213
0.1725	37.6	1.202
0.1916	38.11	1.193
0.2108	38.59	1.186
0.23	39.04	1.182
0.2491	39.46	1.179
0.25	39.48	1.179
0.2917	40.3	1.178
0.3333	41.03	1.18
0.375	41.68	1.186
0.4167	42.28	1.194
0.4583	42.83	1.203
0.5	43.33	1.213
0.5417	43.79	1.224
0.5833	44.22	1.235
0.625	44.61	1.247
0.6667	44.97	1.259
0.7083	45.31	1.272
0.75	45.62	1.284
0.7917	45.91	1.297
0.8333	46.17	1.311
0.875	46.42	1.324
0.9167	46.64	1.338
0.9583	46.85	1.351
1	47.05	1.365
1.0833	47.39	1.392
1.1667	47.69	1.42
1.25	47.95	1.448
1.3333	48.17	1.477
1.4167	48.35	1.505
1.5	48.52	1.533
