name = nl
year = 2012
yname = hgt
sex = female
sub = 35
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	45.97	2.318
0.0027	46.08	2.314
0.0055	46.19	2.311
0.0082	46.3	2.308
0.011	46.41	2.305
0.0137	46.52	2.302
0.0164	46.63	2.299
0.0192	46.74	2.296
0.0219	46.85	2.293
0.0246	46.96	2.29
0.0274	47.08	2.288
0.0301	47.19	2.285
0.0329	47.31	2.282
0.0356	47.43	2.28
0.0383	47.54	2.278
0.0575	48.36	2.263
0.0767	49.2	2.251
0.0958	50.03	2.242
0.115	50.87	2.234
0.1342	51.7	2.228
0.1533	52.52	2.223
0.1725	53.32	2.22
0.1916	54.11	2.217
0.2108	54.88	2.216
0.23	55.64	2.216
0.2491	56.38	2.217
0.25	56.41	2.217
0.2917	57.95	2.221
0.3333	59.4	2.228
0.375	60.76	2.239
0.4167	62.04	2.251
0.4583	63.23	2.266
0.5	64.36	2.282
0.5417	65.42	2.3
0.5833	66.42	2.319
0.625	67.36	2.339
0.6667	68.26	2.36
0.7083	69.11	2.382
0.75	69.92	2.404
0.7917	70.7	2.427
0.8333	71.45	2.45
0.875	72.17	2.474
0.9167	72.87	2.498
0.9583	73.54	2.522
1	74.2	2.546
1.0833	75.46	2.596
1.1667	76.66	2.645
1.25	77.81	2.695
1.3333	78.92	2.744
1.4167	79.99	2.794
1.5	81.03	2.843
1.5833	82.05	2.892
1.6667	83.04	2.94
1.75	84	2.988
1.8333	84.94	3.035
1.9167	85.87	3.082
2	86.77	3.128
2.5	91.84	3.397
3	96.4	3.65
3.5	100.55	3.891
4	104.37	4.123
