name = nl
year = 2012
yname = hgt
sex = male
sub = 25
distribution = NO
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	mean	sd
0	28.49	3.593
0.0027	28.72	3.595
0.0055	28.95	3.597
0.0082	29.18	3.599
0.011	29.41	3.602
0.0137	29.63	3.604
0.0164	29.86	3.605
0.0192	30.09	3.607
0.0219	30.31	3.609
0.0246	30.53	3.611
0.0274	30.76	3.612
0.0301	30.98	3.614
0.0329	31.21	3.616
0.0356	31.43	3.617
0.0383	31.65	3.618
0.0575	33.18	3.627
0.0767	34.67	3.633
0.0958	36.12	3.637
0.115	37.54	3.64
0.1342	38.91	3.642
0.1533	40.24	3.642
0.1725	41.52	3.642
0.1916	42.76	3.64
0.2108	43.96	3.639
0.23	45.12	3.636
0.2491	46.23	3.634
0.25	46.28	3.634
0.2917	48.55	3.628
0.3333	50.64	3.622
0.375	52.56	3.617
0.4167	54.32	3.614
0.4583	55.95	3.612
0.5	57.45	3.613
0.5417	58.84	3.615
0.5833	60.13	3.62
0.625	61.34	3.627
0.6667	62.47	3.635
0.7083	63.53	3.645
0.75	64.54	3.657
0.7917	65.49	3.67
0.8333	66.39	3.684
0.875	67.26	3.7
0.9167	68.08	3.716
0.9583	68.88	3.734
1	69.64	3.752
1.0833	71.1	3.792
1.1667	72.46	3.833
1.25	73.76	3.877
1.3333	74.99	3.922
1.4167	76.17	3.969
1.5	77.3	4.016
1.5833	78.39	4.064
1.6667	79.45	4.113
1.75	80.47	4.162
1.8333	81.46	4.212
1.9167	82.42	4.262
2	83.35	4.312
2.5	88.49	4.612
3	93	4.908
3.5	97.01	5.199
4	100.64	5.484
