name = nl
year = 2012
yname = wfh
sex = female
distribution = LMS
ty = log1p(y)
yt = exp(t)+1
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
remark = Bewerking Arjan Huizing, Dec 2019, Y-transform: log(kg+1)
[data]
x	L	M	S
35	-1.2742	0.66	0.1242
36	-1.0395	0.71	0.1187
37	-0.8014	0.76	0.1134
38	-0.559	0.811	0.1083
39	-0.313	0.862	0.1033
40	-0.0646	0.914	0.0986
41	0.1859	0.966	0.0939
42	0.4378	1.02	0.0894
43	0.6893	1.074	0.0851
44	0.9373	1.129	0.0808
45	1.1745	1.184	0.0767
46	1.3931	1.24	0.0727
47	1.587	1.296	0.0689
48	1.7506	1.352	0.0653
49	1.88	1.408	0.0618
50	1.9737	1.463	0.0586
51	2.0339	1.516	0.0556
52	2.0646	1.568	0.0529
53	2.0704	1.617	0.0504
54	2.0553	1.665	0.0482
55	2.0229	1.711	0.0462
56	1.9775	1.754	0.0445
57	1.9229	1.796	0.0429
58	1.8626	1.835	0.0416
59	1.7993	1.873	0.0404
60	1.735	1.909	0.0394
61	1.6711	1.944	0.0385
62	1.6085	1.977	0.0378
63	1.5474	2.01	0.0372
64	1.4878	2.041	0.0367
65	1.4299	2.072	0.0362
66	1.3736	2.101	0.0358
67	1.3184	2.13	0.0355
68	1.2642	2.159	0.0352
69	1.2106	2.186	0.0349
70	1.1569	2.213	0.0347
71	1.1024	2.239	0.0344
72	1.0469	2.264	0.0342
73	0.9905	2.288	0.0339
74	0.933	2.311	0.0337
75	0.8742	2.333	0.0335
76	0.8142	2.355	0.0333
77	0.7529	2.376	0.0331
78	0.6905	2.396	0.0329
79	0.6273	2.415	0.0327
80	0.5642	2.434	0.0326
81	0.5008	2.453	0.0324
82	0.4349	2.47	0.0323
83	0.3643	2.488	0.0321
84	0.2869	2.505	0.0319
85	0.2007	2.522	0.0318
86	0.1042	2.539	0.0316
87	-0.0037	2.556	0.0315
88	-0.1236	2.572	0.0313
89	-0.2555	2.589	0.0311
90	-0.3999	2.606	0.0309
91	-0.5586	2.623	0.0307
92	-0.7332	2.64	0.0305
93	-0.9243	2.657	0.0303
94	-1.1319	2.675	0.0301
95	-1.3552	2.692	0.0299
96	-1.5925	2.711	0.0297
97	-1.8418	2.729	0.0295
98	-2.1005	2.748	0.0293
99	-2.3662	2.767	0.0291
100	-2.6366	2.786	0.0289
101	-2.9107	2.806	0.0287
102	-3.1886	2.826	0.0286
103	-3.4701	2.845	0.0285
104	-3.7546	2.866	0.0284
105	-4.0409	2.886	0.0283
106	-4.3282	2.906	0.0282
107	-4.6164	2.927	0.0281
108	-4.9053	2.947	0.0281
109	-5.1947	2.968	0.028
110	-5.4845	2.989	0.028
111	-5.7741	3.009	0.028
112	-6.0636	3.03	0.0279
113	-6.353	3.051	0.0279
114	-6.6425	3.071	0.0279
115	-6.932	3.092	0.0278
116	-7.2215	3.112	0.0278
117	-7.511	3.133	0.0278
118	-7.8005	3.154	0.0277
119	-8.0901	3.174	0.0277
120	-8.3796	3.195	0.0277
