name = nl
year = 2012
yname = wfh
sex = male
distribution = LMS
ty = log1p(y)
yt = exp(y)-1
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
remark = Bewerking Arjan Huizing, Dec 2019, Y-transform: log(kg+1)
[data]
x	L	M	S
35	-0.6638	0.669	0.1195
36	-0.3608	0.719	0.1145
37	-0.0652	0.768	0.1097
38	0.2207	0.817	0.1051
39	0.4945	0.867	0.1007
40	0.7535	0.918	0.0966
41	0.9945	0.969	0.0926
42	1.2149	1.021	0.0888
43	1.4118	1.073	0.0851
44	1.5821	1.127	0.0815
45	1.7211	1.181	0.078
46	1.8235	1.236	0.0747
47	1.8855	1.292	0.0714
48	1.9053	1.348	0.0682
49	1.8856	1.405	0.0651
50	1.8317	1.46	0.0622
51	1.7495	1.515	0.0595
52	1.6473	1.569	0.0569
53	1.5328	1.621	0.0545
54	1.4122	1.671	0.0523
55	1.2907	1.719	0.0503
56	1.1721	1.765	0.0485
57	1.0581	1.809	0.0468
58	0.9501	1.85	0.0452
59	0.85	1.89	0.0439
60	0.7594	1.927	0.0426
61	0.6787	1.963	0.0415
62	0.6081	1.997	0.0405
63	0.5479	2.03	0.0395
64	0.4987	2.061	0.0387
65	0.4612	2.091	0.038
66	0.4359	2.121	0.0373
67	0.4227	2.15	0.0367
68	0.4215	2.178	0.0361
69	0.432	2.206	0.0356
70	0.4538	2.234	0.0352
71	0.4858	2.261	0.0348
72	0.527	2.288	0.0344
73	0.5753	2.314	0.0341
74	0.6282	2.339	0.0338
75	0.6837	2.364	0.0335
76	0.7403	2.387	0.0333
77	0.7968	2.41	0.033
78	0.8524	2.432	0.0328
79	0.9061	2.452	0.0326
80	0.9568	2.472	0.0325
81	1.0026	2.491	0.0323
82	1.0413	2.509	0.0322
83	1.0701	2.526	0.032
84	1.0869	2.543	0.0319
85	1.0902	2.559	0.0317
86	1.0784	2.576	0.0316
87	1.0499	2.591	0.0314
88	1.0034	2.607	0.0312
89	0.9376	2.623	0.0311
90	0.8519	2.639	0.0309
91	0.746	2.654	0.0307
92	0.6198	2.67	0.0305
93	0.4734	2.686	0.0303
94	0.3071	2.702	0.03
95	0.1219	2.719	0.0298
96	-0.081	2.736	0.0295
97	-0.2997	2.754	0.0293
98	-0.532	2.772	0.029
99	-0.7758	2.79	0.0287
100	-1.0288	2.808	0.0285
101	-1.2897	2.827	0.0282
102	-1.5581	2.846	0.0279
103	-1.8333	2.865	0.0276
104	-2.1145	2.885	0.0273
105	-2.4013	2.904	0.0271
106	-2.6933	2.924	0.0268
107	-2.9901	2.944	0.0265
108	-3.2913	2.964	0.0263
109	-3.5958	2.984	0.026
110	-3.903	3.005	0.0258
111	-4.2118	3.025	0.0255
112	-4.5218	3.046	0.0253
113	-4.8323	3.067	0.025
114	-5.1428	3.087	0.0248
115	-5.4533	3.108	0.0246
116	-5.7637	3.128	0.0243
117	-6.0741	3.149	0.0241
118	-6.3844	3.169	0.0239
119	-6.6948	3.19	0.0237
120	-7.0051	3.211	0.0234
