name = nl
year = 2012
yname = wgt
sex = female
sub = 26
distribution = LMS
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	L	M	S
0	0.8089	0.901	0.194
0.0027	0.8128	0.89	0.193
0.0055	0.8167	0.88	0.192
0.0082	0.8204	0.872	0.1911
0.011	0.824	0.866	0.1901
0.0137	0.8274	0.861	0.1893
0.0164	0.8307	0.858	0.1884
0.0192	0.8339	0.857	0.1875
0.0219	0.837	0.857	0.1866
0.0246	0.8399	0.858	0.1858
0.0274	0.8429	0.861	0.185
0.0301	0.8456	0.865	0.1842
0.0329	0.8484	0.87	0.1834
0.0356	0.851	0.876	0.1826
0.0383	0.8534	0.884	0.1818
0.0575	0.8687	0.964	0.1768
0.0767	0.8805	1.083	0.1722
0.0958	0.8893	1.229	0.1682
0.115	0.8958	1.394	0.1644
0.1342	0.9003	1.572	0.161
0.1533	0.903	1.756	0.1579
0.1725	0.9043	1.947	0.155
0.1916	0.9044	2.139	0.1524
0.2108	0.9034	2.333	0.1499
0.23	0.9015	2.526	0.1476
0.2491	0.8988	2.716	0.1456
0.25	0.8987	2.725	0.1455
0.2917	0.8904	3.131	0.1414
0.3333	0.8799	3.52	0.138
0.375	0.8675	3.891	0.1351
0.4167	0.8538	4.242	0.1326
0.4583	0.8391	4.573	0.1304
0.5	0.8238	4.885	0.1286
0.5417	0.8079	5.18	0.127
0.5833	0.7917	5.457	0.1257
0.625	0.7752	5.72	0.1245
0.6667	0.7585	5.968	0.1235
0.7083	0.7418	6.203	0.1226
0.75	0.725	6.426	0.1219
0.7917	0.7083	6.639	0.1212
0.8333	0.6916	6.841	0.1207
0.875	0.675	7.035	0.1201
0.9167	0.6584	7.222	0.1197
0.9583	0.642	7.4	0.1193
1	0.6257	7.573	0.119
1.0833	0.5935	7.9	0.1184
1.1667	0.5618	8.209	0.1179
1.25	0.5307	8.5	0.1175
1.3333	0.5001	8.779	0.1172
1.4167	0.4701	9.046	0.117
1.5	0.4408	9.304	0.1168
1.5833	0.4119	9.553	0.1167
1.6667	0.3836	9.796	0.1166
1.75	0.3559	10.032	0.1166
1.8333	0.3286	10.262	0.1166
1.9167	0.3019	10.488	0.1167
2	0.2756	10.709	0.1167
2.5	0.1273	11.959	0.1179
3	-0.0073	13.105	0.1198
3.5	-0.1305	14.168	0.1222
4	-0.2444	15.161	0.125
