name = nl
year = 2012
yname = wgt
sex = male
sub = 32
distribution = LMS
citation = Bocca-Tjeertes 2012
publication = Bocca-Tjeertes IFA, van Buuren S, Bos AF, Kerstens JM, ten Vergert EM & Reijneveld SA (2012) Growth of Preterm and Full-term Children Aged 0-4 years: Integrating Median Growth and Variability in Growth Charts. Journal of Pediatrics, 161(3), 460-465.e1.
[data]
x	L	M	S
0	1.0885	1.76	0.1912
0.0027	1.0836	1.768	0.1905
0.0055	1.0785	1.777	0.1897
0.0082	1.0737	1.788	0.189
0.011	1.0688	1.8	0.1883
0.0137	1.0642	1.813	0.1876
0.0164	1.0596	1.828	0.1869
0.0192	1.0549	1.844	0.1863
0.0219	1.0504	1.861	0.1856
0.0246	1.046	1.879	0.185
0.0274	1.0416	1.899	0.1843
0.0301	1.0373000000000001	1.919	0.1837
0.0329	1.0329	1.941	0.183
0.0356	1.0288	1.963	0.1824
0.0383	1.0247	1.986	0.1818
0.0575	0.997	2.171	0.1778
0.0767	0.9717	2.385	0.1741
0.0958	0.9485	2.616	0.1707
0.115	0.9269	2.859	0.1675
0.1342	0.9068	3.107	0.1646
0.1533	0.8881	3.354	0.1619
0.1725	0.8705	3.601	0.1594
0.1916	0.854	3.843	0.1571
0.2108	0.8384	4.081	0.1549
0.23	0.8236	4.312	0.1529
0.2491	0.8097	4.536	0.151
0.25	0.809	4.546	0.1509
0.2917	0.7809	5.009	0.1473
0.3333	0.7554	5.437	0.1441
0.375	0.732	5.833	0.1415
0.4167	0.7103	6.2	0.1392
0.4583	0.6902	6.538	0.1372
0.5	0.6712	6.853	0.1355
0.5417	0.6532	7.145	0.134
0.5833	0.6361	7.418	0.1327
0.625	0.6197	7.674	0.1316
0.6667	0.6039	7.914	0.1306
0.7083	0.5887	8.14	0.1298
0.75	0.574	8.355	0.129
0.7917	0.5597	8.559	0.1283
0.8333	0.5457	8.753	0.1277
0.875	0.5321	8.938	0.1272
0.9167	0.5188	9.116	0.1268
0.9583	0.5057	9.286	0.1264
1	0.4929	9.451	0.126
1.0833	0.4679	9.764	0.1255
1.1667	0.4436	10.058	0.1251
1.25	0.4201	10.337	0.1248
1.3333	0.3971	10.604	0.1246
1.4167	0.3746	10.86	0.1245
1.5	0.3527	11.108	0.1245
1.5833	0.3312	11.347	0.1246
1.6667	0.3101	11.581	0.1247
1.75	0.2894	11.808	0.1249
1.8333	0.2691	12.031	0.1251
1.9167	0.2492	12.249	0.1254
2	0.2296	12.463	0.1257
2.5	0.1183	13.68	0.1279
3	0.0164	14.806	0.1306
3.5	-0.0776	15.858	0.1336
4	-0.165	16.847	0.1367
