country = be
year = 2009
yname = 
sex = female
distribution = LMS
citation = Roelants
publication = Roelants M, Hauspie R, Hoppenbrouwers K. References for growth and pubertal development from birth to 21 years in Flanders, Belgium. Ann Hum Biol. 2009 Aug 7:1-15
[data]
x	L	M	S
3	-1.4	15.8	0.076
4	-1.6	15.6	0.079
5	-1.8	15.4	0.086
6	-1.9	15.4	0.097
7	-1.9	15.5	0.11
8	-1.9	15.9	0.122
9	-1.9	16.4	0.133
10	-1.7	16.9	0.142
11	-1.6	17.5	0.147
12	-1.5	18.1	0.149
13	-1.5	18.8	0.148
14	-1.4	19.5	0.143
15	-1.4	20.2	0.139
16	-1.5	20.8	0.136
17	-1.5	21.1	0.135
18	-1.6	21.4	0.137
19	-1.7	21.5	0.14
20	-1.9	21.7	0.144
21	-2	21.8	0.148
